relation,postag1,postag2,entity1,entity2,reverse,prediction
MODEL-FEATURE,NNS,NNS,linguistic concepts,training examples,False,MODEL-FEATURE
USAGE,NN,NNS,lexical hierarchy,linguistic concepts,False,COMPARE
MODEL-FEATURE,NN,NN,lexical unknown,hypothesis,True,TOPIC
USAGE,NN,NN,natural language system,computational lexicon,True,USAGE
PART_WHOLE,NN,NN,computational lexicon,shared lexical information,True,TOPIC
USAGE,NNS,NN,machine-readable dictionaries,broad coverage lexicon,False,PART_WHOLE
RESULT,VBG,NNS,user modeling,systems,False,USAGE
MODEL-FEATURE,NN,NN,user model,user,False,RESULT
PART_WHOLE,NN,VBG,user model,user modeling,False,USAGE
USAGE,NN,NN,feature structure-directed generation,dialogue translation system,False,RESULT
USAGE,VBZ,NN,typed feature structures,top-down derivation,False,TOPIC
USAGE,NN,VBZ,generation system,disjunctive feature structures,True,MODEL-FEATURE
USAGE,NN,NN,grammar,generator,False,PART_WHOLE
MODEL-FEATURE,NN,NNS,dependency structure,sentences,False,MODEL-FEATURE
USAGE,NN,NN,DoPS system,target document,False,RESULT
MODEL-FEATURE,NNS,NNS,dependency structures,Japanese patent claim sentences,False,MODEL-FEATURE
USAGE,NN,NN,Korean phonological knowledge base system,unification-based grammar formalism,True,TOPIC
USAGE,NNP,NN,KPSG,phonological system,False,COMPARE
COMPARE,JJ,NN,syntax,semantic interpretation,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,semantics,logical form language,True,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,translates,natural language,False,TOPIC
USAGE,NNP,NN,TAGs,syntax proper,False,COMPARE
MODEL-FEATURE,NN,NN,sentence analysis,defeasible reasoning,False,RESULT
USAGE,NNS,NN,Japanese sentence analyses,argumentation system,True,TOPIC
MODEL-FEATURE,NN,NN,formalization,defeasible reasoning,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,defeat rules,defeasibility,False,PART_WHOLE
PART_WHOLE,NNS,NN,Spelling-checkers,text processing software,False,PART_WHOLE
COMPARE,NNS,NNS,dictionaries of word forms,words,False,PART_WHOLE
MODEL-FEATURE,NN,NNP,inflection,English,False,TOPIC
MODEL-FEATURE,NNS,NNP,highly inflective languages,Czech,False,PART_WHOLE
USAGE,NNS,NNP,spelling-checkers,English,False,TOPIC
PART_WHOLE,NNS,NNP,word forms,Czech,False,PART_WHOLE
USAGE,NNS,NN,grammar coverage problems,fully-connected first-order statistical class grammar,True,TOPIC
MODEL-FEATURE,NN,NN,board,Intel i860 chip,True,TOPIC
PART_WHOLE,NN,NNP,VME bus,SUN4,False,RESULT
USAGE,NN,NN,speaker-independent (SI) training,speech,True,TOPIC
COMPARE,NNS,NNS,statistics,speech data,False,USAGE
RESULT,NNS,NN,training speakers,word error rate,False,COMPARE
PART_WHOLE,NN,NN,test set,DARPA Resource Management corpus,False,RESULT
USAGE,NN,NN,speaker adaptation,SI corpus,True,TOPIC
MODEL-FEATURE,NN,NN,probabilistic spectral mapping,training (reference) speaker,False,RESULT
USAGE,NN,VBG,reference model,averaging,True,USAGE
USAGE,NNS,NN,utterances,adaptation,False,PART_WHOLE
USAGE,NN,NN,editor,dictionary,False,PART_WHOLE
USAGE,NN,NNS,editor,lexicologists,False,COMPARE
USAGE,NN,NN,dictionary,linguistic theory,True,USAGE
USAGE,NNS,NN,grammars,natural language processing,False,PART_WHOLE
RESULT,NN,NNS,free indexation,referential properties of noun phrases,False,COMPARE
USAGE,NN,NN,syntactic analysis,agenda-based scheduling parser,True,TOPIC
USAGE,VBG,NN,pragmatics processing,abductive inference,True,USAGE
USAGE,NN,NN,chart-based phrase structure parsing,natural language,False,TOPIC
PART_WHOLE,NN,NNS,unrestricted texts,words,True,PART_WHOLE
COMPARE,VBZ,VBZ,edges,edges,False,COMPARE
USAGE,NNS,NNS,phrase boundary heuristics,function words,True,PART_WHOLE
PART_WHOLE,NNS,NNS,phrases,unknown words,True,PART_WHOLE
COMPARE,JJ,NNS,semantic,syntactic categories,False,MODEL-FEATURE
RESULT,NN,VBZ,ambiguity,edges,False,MODEL-FEATURE
MODEL-FEATURE,VBZ,JJ,edges,semantic,True,USAGE
USAGE,NN,NN,discourse segmentation,abduction,True,TOPIC
MODEL-FEATURE,NNS,NNS,temporal relations,segments,False,MODEL-FEATURE
USAGE,NN,NN,adaptive learning procedure,syntactic ambiguity resolution,False,RESULT
RESULT,NN,NN,approximation error,language model,True,TOPIC
USAGE,NNS,NN,statistical approaches,maximum likelihood method,True,TOPIC
RESULT,NN,NN,accuracy rate,syntactic disambiguation,True,TOPIC
PART_WHOLE,JJ,NN,Graph unification,unification-based grammar parsing,False,MODEL-FEATURE
MODEL-FEATURE,VBZ,NN,log(d) overheads,structure-sharing of graphs,False,TOPIC
COMPARE,NN,NN,transfer phase,analysis,False,TOPIC
USAGE,NN,NN,case-based reasoning,machine translation,False,USAGE
USAGE,NNP,NNP,Similarity-driven Transfer System,case-based MT,False,COMPARE
USAGE,NN,NN,parser,non-terminal symbol,True,USAGE
MODEL-FEATURE,NN,NN,parse record,utterance,False,MODEL-FEATURE
PART_WHOLE,NNS,NN,unknown words,dictionary,False,PART_WHOLE
USAGE,NN,NNS,sublanguage,unknown words,False,PART_WHOLE
PART_WHOLE,NNS,NNS,personal names,Chinese newspapers,False,MODEL-FEATURE
PART_WHOLE,NNS,JJ,spatial descriptions,Japanese,False,COMPARE
MODEL-FEATURE,NN,NN,model,world,False,RESULT
PART_WHOLE,NNS,NN,qualitative spatial constraints,text,False,PART_WHOLE
MODEL-FEATURE,NNS,NNS,spatial attributes,entities,False,MODEL-FEATURE
MODEL-FEATURE,NN,NN,temporary belief,world,False,RESULT
MODEL-FEATURE,NN,NN,spoken language corpus,ATIS (Air Travel Information System) domain,True,TOPIC
MODEL-FEATURE,NNS,NN,utterances,spontaneous speech,True,PART_WHOLE
COMPARE,NN,NNP,speech processing,Human-Machine Communication,False,USAGE
MODEL-FEATURE,NNS,NN,domain-independent capabilities,Paramax spoken language understanding system,False,PART_WHOLE
RESULT,NN,NN,n-best speech/language integration architecture,accuracy,False,RESULT
USAGE,NN,NN,linguistic information,ambiguity,False,MODEL-FEATURE
USAGE,NNP,NN,HBG,"lexical, syntactic, semantic, and structural information",True,TOPIC
MODEL-FEATURE,NN,NN,parse,sentence,False,PART_WHOLE
USAGE,NN,NN,grammar,linguistic introspection,True,PART_WHOLE
COMPARE,NN,NNP,HBG model,P-CFG,False,RESULT
USAGE,NNS,NNS,reestimation formulas,HMM with Gaussian mixture observation densities,False,MODEL-FEATURE
USAGE,VBG,NN,Bayesian learning,speech recognition,False,USAGE
MODEL-FEATURE,NN,NN,sentence,meaning,True,PART_WHOLE
USAGE,NNS,NN,word-sense disambiguation systems,bilingual material,True,TOPIC
PART_WHOLE,NN,NN,sentence,well-written discourse,False,PART_WHOLE
PART_WHOLE,NN,NN,sense,discourse,False,RESULT
USAGE,NN,NN,constraint,word-sense disambiguation algorithm,False,RESULT
USAGE,IN,NN,disambiguation algorithms,discourse constraint,True,TOPIC
USAGE,NNS,NN,dependency relation paths,answer extraction,False,PART_WHOLE
MODEL-FEATURE,NNS,NNS,dependency relations,question phrases,False,MODEL-FEATURE
PART_WHOLE,NN,NN,mapping score,correlation measure,False,RESULT
PART_WHOLE,NNS,NN,cooccurrence patterns,corpus,False,PART_WHOLE
USAGE,NNS,NNS,semantic constraints,anaphora references,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,references,pronoun,False,MODEL-FEATURE
PART_WHOLE,NNS,NN,sentences,corpus,False,PART_WHOLE
USAGE,NNS,NN,cooccurrence statistics,disambiguation tool,False,PART_WHOLE
COMPARE,NN,NN,probabilistic context-free grammar,probabilistic finite automaton,False,RESULT
PART_WHOLE,NN,NN,Kullback-Leibler distance,cross-entropy,True,TOPIC
USAGE,NN,NN,distributional approximation,probabilistic finite automata,True,TOPIC
USAGE,NN,NNS,spelling correction,languages,False,MODEL-FEATURE
USAGE,NN,NNS,spelling correction,agglutinative languages,False,COMPARE
USAGE,NN,NNP,spelling correction,Turkish,False,COMPARE
USAGE,NNS,NNP,continuous speech recognition (CSR) techniques,Spoken Language Systems,False,PART_WHOLE
USAGE,NN,NNS,spoken language technology,military and civilian systems,False,COMPARE
USAGE,NNP,NN,CSR,mobile military command and control,False,COMPARE
USAGE,NNP,NN,large-vocabulary CSR,ARPA large-vocabulary CSR corpora,False,COMPARE
PART_WHOLE,NNP,NNS,Presentor,declarative languages,True,TOPIC
TOPIC,NN,NNS,DARPA Spoken Language Systems (SLS) program,SLS systems,False,COMPARE
TOPIC,VBZ,NNP,NL evaluations,Message Understanding Conferences,True,MODEL-FEATURE
USAGE,NN,NNS,black-box methodology,question-answering NL systems,False,COMPARE
TOPIC,NN,NN,psycholinguistic literature,syntactic priming,False,RESULT
USAGE,NN,NN,priming,incremental probabilistic parser,False,RESULT
PART_WHOLE,NNS,NNS,parallel structures,human data,False,PART_WHOLE
MODEL-FEATURE,NN,NNS,word,sense priors,True,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,senses,word,False,PART_WHOLE
USAGE,NNS,NNS,word sense disambiguation (WSD) systems,domains,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,sense priors,words,False,PART_WHOLE
USAGE,NNS,NNS,well calibrated probabilities,estimations,False,PART_WHOLE
USAGE,NNS,NNS,well calibrated probabilities,sense priors,False,PART_WHOLE
PART_WHOLE,NNS,NN,hierarchical relations,thesaurus construction,False,PART_WHOLE
PART_WHOLE,NNS,NN,relations,Japanese language dictionary,False,PART_WHOLE
PART_WHOLE,NNS,NN,definition sentences,dictionary,False,PART_WHOLE
USAGE,NN,NN,natural language understanding,machine translation,False,USAGE
MODEL-FEATURE,NN,NN,ambiguity,natural language,False,TOPIC
USAGE,NN,NNP,transfer approach,MT,False,USAGE
COMPARE,NN,NN,transfer phase,interlingual approach,False,COMPARE
USAGE,NNP,NNS,SVMs,language processing tasks,False,COMPARE
USAGE,NNS,NNS,error correction mechanisms,unseen data,False,PART_WHOLE
MODEL-FEATURE,NNS,NNS,entailment relations,verbs,False,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,semantic equivalence,verbs,False,MODEL-FEATURE
TOPIC,NN,NNS,entailment acquisition,"asymmetric, or directional, relations",False,COMPARE
MODEL-FEATURE,NN,NN,local structure,coherent text,False,RESULT
MODEL-FEATURE,NNS,NNS,discourse relations,clauses,False,PART_WHOLE
MODEL-FEATURE,NNS,NNS,verbs,argument structures,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,phrases,trees,False,PART_WHOLE
COMPARE,NN,NN,ranking algorithm,lattice-based approach,False,RESULT
USAGE,NNS,NN,sentences,summary generation,False,PART_WHOLE
USAGE,NN,NNS,categorization task,positive feature vectors,True,USAGE
USAGE,NN,NNS,text model,user-directed summaries,False,COMPARE
MODEL-FEATURE,NN,NNS,similarity,vectors,False,MODEL-FEATURE
MODEL-FEATURE,NN,NN,threading algorithm,0(n) time,False,RESULT
MODEL-FEATURE,NNS,NNS,topics,threads,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,words,information,False,MODEL-FEATURE
MODEL-FEATURE,NNP,NN,SSTC,sentence,False,PART_WHOLE
PART_WHOLE,NNS,NN,substrings,sentence,False,PART_WHOLE
PART_WHOLE,NNS,NN,subtrees,representation tree,False,PART_WHOLE
MODEL-FEATURE,NNS,NNS,subtrees,phrases,False,USAGE
USAGE,NN,NN,HMM-based chunk tagger,named entity (NE) recognition (NER) system,False,RESULT
MODEL-FEATURE,NNS,NN,words,capitalization,True,PART_WHOLE
RESULT,NN,NNS,system,F-measures,False,RESULT
USAGE,NN,NN,Natural Language Processing (NLP) system,new domain,True,TOPIC
USAGE,NN,NN,existing grammar,new sublanguage,False,RESULT
USAGE,NN,NN,lexicalized grammar,domain,False,RESULT
COMPARE,NNS,NN,traditional knowledge-based techniques,corpus-based approach,False,PART_WHOLE
PART_WHOLE,NN,NN,transliteration,corpus,False,PART_WHOLE
USAGE,NN,NN,string similarity,edit distance,True,TOPIC
USAGE,NN,NN,contextual similarity,vector space model,True,TOPIC
PART_WHOLE,NNS,NN,temporal expressions,newswire texts,False,PART_WHOLE
MODEL-FEATURE,NNS,NN,temporal expressions,genre,True,TOPIC
COMPARE,NNP,NN,Temporal Expression Anchoror,baseline,False,COMPARE
USAGE,NN,NN,voice input,interactive problem solving,False,RESULT
USAGE,NN,NN,natural language processing,speech understanding,False,USAGE
USAGE,NN,NN,segment-based approach,phonetic recognition,False,RESULT
USAGE,NN,NN,natural language processing,spoken language understanding,False,USAGE
PART_WHOLE,NN,NN,knowledge,text,False,PART_WHOLE
USAGE,NNS,NNP,computational methods,KDS,False,PART_WHOLE
COMPARE,NN,NNS,A deterministic parser,traditional deterministic parsers,False,COMPARE
PART_WHOLE,NNS,NN,rules,deterministic grammar,False,USAGE
COMPARE,NN,NN,parser,known deterministic parser,False,USAGE
USAGE,NNS,NN,training techniques,decision-making,False,PART_WHOLE
PART_WHOLE,NN,NN,connectionist component,parsing process,False,RESULT
PART_WHOLE,NNS,NNS,rules,deterministic parsers,False,USAGE
USAGE,NN,NNS,connectionist (neural) network,expected (grammatical) sentences,False,COMPARE
USAGE,VBG,NN,supervised learning,summarization,False,USAGE
PART_WHOLE,NN,NN,corpus,newspaper corpus,True,PART_WHOLE
USAGE,NN,NN,statistical machine translation,dynamic programming,True,USAGE
MODEL-FEATURE,NN,NN,Verbmobil task,limited-domain spoken-language task,True,TOPIC
PART_WHOLE,NN,NNS,word-sense ambiguity,machine-readable resources,False,COMPARE
COMPARE,NNS,NN,verb semantics,syntactic behavior,False,PART_WHOLE
USAGE,NN,NNS,semantic information,syntactic cues,True,RESULT
COMPARE,NNS,VBZ,syntactic cues,word senses,False,COMPARE
USAGE,NNS,NN,natural language processing (NLP) systems,text understanding,False,PART_WHOLE
USAGE,NNP,NNS,PAKTUS,JINTACCS messages,False,COMPARE
USAGE,NN,NNS,linear logic,computational linguistics,False,COMPARE
PART_WHOLE,NN,NN,embodied conversational agent,dialogue system,False,RESULT
USAGE,NN,NN,parser,large-vocabulary speech recognition,False,USAGE
USAGE,NN,NNS,parser,structural and lexical dependencies,True,USAGE
USAGE,NN,NN,structural information,speech understanding,False,MODEL-FEATURE
COMPARE,NN,RB,rank,entropy,False,MODEL-FEATURE
USAGE,NNS,NN,pruning criteria,Chinese text input,False,PART_WHOLE
USAGE,NN,NN,unification-based grammar,multidimensional chart parser,False,RESULT
USAGE,VBG,NN,multimodal parsing and understanding,weighted finite-state device,True,RESULT
MODEL-FEATURE,NN,NN,convolution kernel,syntactic structure information,False,RESULT
PART_WHOLE,NNS,NN,syntactic structure features,parse tree,False,PART_WHOLE
USAGE,NN,NN,parsing,unification-based parsing,True,USAGE
COMPARE,NNS,NNS,unification-based grammatical frameworks,KL-ONE-like knowledge representation systems,False,PART_WHOLE
USAGE,NNS,NNS,classification-based representation techniques,unification-based linguistic descriptions,False,PART_WHOLE
USAGE,NN,NN,KL-ONE style representation,parsing,False,USAGE
USAGE,NN,NN,parsing,incremental description refinement,True,USAGE
USAGE,NN,NN,explanation system,domain knowledge,True,TOPIC
USAGE,NN,NNS,explanation generation,"semantically rich, large-scale knowledge bases",True,USAGE
USAGE,NN,NN,robust explanation system,large-scale knowledge base,True,TOPIC
PART_WHOLE,NN,NNS,topic signature,words,True,PART_WHOLE
USAGE,VBZ,NNS,Topic signatures,Natural Language Processing (NLP) applications,False,COMPARE
PART_WHOLE,NNS,NNP,word senses,English,False,MODEL-FEATURE
PART_WHOLE,NN,NN,Chinese text,corpora,False,PART_WHOLE
USAGE,VBZ,NN,topic signatures,WSD task,False,COMPARE
USAGE,NN,NNS,ensemble learning approach,German pronouns,False,COMPARE
USAGE,NN,JJ,standalone system,unannotated text,False,PART_WHOLE
COMPARE,NN,NN,textual domain,open-domain question answering,False,RESULT
USAGE,NN,NN,machine learning approach,bare slice disambiguation,False,RESULT
MODEL-FEATURE,NNS,NNS,heuristic principles,probabilistic Horn clauses,True,PART_WHOLE
MODEL-FEATURE,NNS,NN,domain independent features,input dataset,False,PART_WHOLE
COMPARE,NN,NN,rule-based learning algorithm,memory-based system,False,RESULT
MODEL-FEATURE,NNS,NNS,features,heuristic principles,False,MODEL-FEATURE
COMPARE,NNS,NNS,rules,Horn clauses,False,USAGE
USAGE,NN,NNS,meaning-entailing substitutability,semantic-oriented NLP applications,False,COMPARE
MODEL-FEATURE,NN,NNS,semantic criterion,distributional word feature vectors,False,COMPARE
RESULT,NN,NNS,feature weighting and selection function,feature vectors,False,COMPARE
MODEL-FEATURE,NNS,NNS,features,electronic discussions,False,MODEL-FEATURE
USAGE,NNS,NNS,clustering and filtering processes,electronic newsgroup discussions,False,PART_WHOLE
RESULT,NN,VBG,performance,coarse-level clustering,True,RESULT
MODEL-FEATURE,NN,NN,context,word,False,MODEL-FEATURE
RESULT,NN,NN,quality,accuracy,False,RESULT
RESULT,NN,NN,HMM training,accuracy,False,RESULT
USAGE,NNS,NNS,referring expressions,objects,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,binary relations,objects,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,objects,n-ary relations,True,TOPIC
PART_WHOLE,NN,NNS,Machine transliteration/back-transliteration,multilingual speech and language applications,False,COMPARE
USAGE,NN,NN,machine transliteration/backtransliteration,direct orthographical mapping,False,RESULT
MODEL-FEATURE,VB,NN,n-gram transliteration model,transliteration process,False,MODEL-FEATURE
USAGE,NNS,NNS,transliteration/backtransliteration experiments,English/Chinese and English/Japanese language pairs,False,MODEL-FEATURE
USAGE,NN,JJ,corpus-based supervised word sense disambiguation (WSD) system,Dutch,False,PART_WHOLE
COMPARE,NNS,NN,classifiers,lemma-based approach,False,RESULT
MODEL-FEATURE,NNS,NN,inflected forms,ambiguous word,False,PART_WHOLE
USAGE,NN,NN,training material,algorithm,False,COMPARE
USAGE,NN,NNS,lemma-based model,Dutch Senseval-2 test data,False,COMPARE
USAGE,NN,NN,text mining method,distributional hypothesis,True,TOPIC
RESULT,NN,NN,accuracy,term aggregation system,True,RESULT
USAGE,NN,NN,text,corpus,False,PART_WHOLE
MODEL-FEATURE,NN,NN,expression,meaning,True,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,words,similar context features,True,PART_WHOLE
RESULT,NN,NN,accuracy,term aggregation system,True,RESULT
USAGE,NN,NN,sentence extraction,summarization,False,TOPIC
MODEL-FEATURE,NNS,NNS,documents,genres,True,MODEL-FEATURE
PART_WHOLE,NN,NNS,email communication,utterances,False,MODEL-FEATURE
PART_WHOLE,NNS,NN,segments,dialogue,False,MODEL-FEATURE
PART_WHOLE,NNS,NN,question-answer pairs,email conversation,True,TOPIC
USAGE,NNS,NN,features,lexical similarity,False,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,co-occurrence distribution,terms,False,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,similarity,words,False,MODEL-FEATURE
USAGE,NN,NNS,lexical affinity,sequential models,False,COMPARE
MODEL-FEATURE,NNS,NNS,co-occurrence patterns,words,False,PART_WHOLE
USAGE,NN,NN,word sense disambiguation,parallel corpora,True,RESULT
USAGE,NN,NN,word clustering,automatic extraction,True,TOPIC
PART_WHOLE,NNS,NNS,alignment errors,multilingually aligned wordnets,False,MODEL-FEATURE
USAGE,NN,NN,Minimum Bayes-Risk (MBR) decoding,statistical machine translation,False,USAGE
MODEL-FEATURE,NNS,NN,loss functions,translation performance,False,PART_WHOLE
MODEL-FEATURE,NNS,NN,loss functions,linguistic information,False,PART_WHOLE
PART_WHOLE,NNS,NN,word-to-word alignments,MT system,True,USAGE
MODEL-FEATURE,NNS,NNS,parse-trees,source and target language sentences,False,MODEL-FEATURE
RESULT,NN,NNS,performance,MBR decoders,False,RESULT
USAGE,NN,NN,MBR decoding,statistical MT performance,False,RESULT
RESULT,NNS,NNS,Information extraction techniques,structured databases,False,MODEL-FEATURE
MODEL-FEATURE,NN,NN,confidence,extracted field,False,RESULT
USAGE,NN,NN,information extraction system,linear-chain conditional random field,True,TOPIC
USAGE,NN,NNS,probabilistic model,information extraction tasks,False,USAGE
MODEL-FEATURE,NNS,NN,features, Markov model,True,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,confidence,extracted fields,False,COMPARE
USAGE,NN,NNS,graphic interpretation system,communicative signals,True,TOPIC
USAGE,NN,NNS,word alignment,log-linear models,True,TOPIC
USAGE,NNS,NNS,knowledge sources,feature functions,False,MODEL-FEATURE
USAGE,NNS,NNS,Log-linear models,statistical alignment models,False,MODEL-FEATURE
USAGE,NN,NNS,bilingual dictionary coverage,features,False,RESULT
COMPARE,NNS,NNS,log-linear models,IBM translation models,False,MODEL-FEATURE
USAGE,NN,NN,Combinatory Categorial Grammar (CCG) lexicon,Turkish dependency treebank,True,TOPIC
MODEL-FEATURE,NNP,NN,Turkish,agglutinating free word order language,True,MODEL-FEATURE
COMPARE,NN,NNP,treebank,Penn WSJ,False,USAGE
PART_WHOLE,NN,NN,Chinese language,verb,True,PART_WHOLE
PART_WHOLE,NN,NN,ambiguity resolution,dependency parsing,False,RESULT
PART_WHOLE,NNS,NNS,sentences,verbs,True,PART_WHOLE
MODEL-FEATURE,NN,NN,connectivity,dependency tree,False,RESULT
USAGE,NN,NN,two-phase shift-reduce dependency parser,SVM learning,True,TOPIC
USAGE,NNS,NN,shift-reduce dependency parsers,Chine language,False,PART_WHOLE
PART_WHOLE,NN,JJ,focus,discourse,False,PART_WHOLE
USAGE,NN,NNS,focus,speech synthesis systems,False,COMPARE
USAGE,NN,NN,grammatical formalisms,context-free phrase-structure grammar,True,TOPIC
PART_WHOLE,NNS,NN,rule-invocation strategies,context-free chart parsing,False,PART_WHOLE
USAGE,NN,NN,model of grammatical processing,uniform processing,True,TOPIC
COMPARE,NN,NN,parsing,generation,False,USAGE
PART_WHOLE,NNS,NNS,words,constituent parts,True,PART_WHOLE
MODEL-FEATURE,NNS,NN,analyses,input word,False,PART_WHOLE
PART_WHOLE,NNP,NN,MORphological PArser MORPA,probabilistic context-free grammar,True,TOPIC
USAGE,NN,NN,"""conventional"" context-free morphological grammar",probability-based scoring function,True,TOPIC
USAGE,NN,NN,parser,text-to-speech conversion system,False,USAGE
MODEL-FEATURE,NN,NNS,output,segmentation standards,True,USAGE
RESULT,NN,NN,system,state-of-the-art performance,False,RESULT
USAGE,NN,NNS,morphological component,derived words,False,PART_WHOLE
USAGE,NN,NN,feature-based word grammar,hierarchical lexicon,True,TOPIC
MODEL-FEATURE,VBZ,NN,Polymorphemic stems,compositional interpretation,True,TOPIC
USAGE,NN,NNP,full parsing,Information Extraction,False,COMPARE
MODEL-FEATURE,NN,NNS,text,unambiguous structures,True,PART_WHOLE
PART_WHOLE,NN,NNP,IE module,"FACILE, a EU project for multilingual text classification and IE",False,COMPARE
RESULT,NN,NN,duration model,error rate,False,RESULT
USAGE,NN,NNS,recognizer,bigram back-off language models,True,TOPIC
MODEL-FEATURE,NNS,NNP,language pairs,GLOSSER,False,PART_WHOLE
PART_WHOLE,NN,NNS,aligned bilingual corpus,word examples,True,TOPIC
MODEL-FEATURE,NNS,NN,topics,texts,False,COMPARE
MODEL-FEATURE,NNS,NN,genre-specific regularities,discourse structure,False,PART_WHOLE
MODEL-FEATURE,NN,NNS,conditional log-linear model,hidden variables,True,TOPIC
MODEL-FEATURE,NNS,NNS,lexical items,word clusters,True,TOPIC
USAGE,NNS,NN,assignments,discriminative training criterion,True,TOPIC
USAGE,VBG,NN,decoding,dynamic programming,True,USAGE
COMPARE,NN,NN,base parser,Collins (2000) reranker,False,RESULT
PART_WHOLE,NNP,NNS,Taiwan Child Language Corpus,scripts,True,TOPIC
MODEL-FEATURE,NNS,NNP,recordings,Southern Min Chinese,True,TOPIC
MODEL-FEATURE,NN,NNP,corpus,Child Language Data Exchange System,True,PART_WHOLE
PART_WHOLE,NN,NNS,corpus,words,True,PART_WHOLE
USAGE,NN,NN,part-of-speech annotation,corpus,False,PART_WHOLE
USAGE,NN,NNS,natural language interpretation,semantic domain models,True,TOPIC
COMPARE,NNS,NN,single-strategy parsers,multi-strategy approach,False,PART_WHOLE
COMPARE,NN,NN,task-specific domain knowledge,general linguistic knowledge,False,RESULT
USAGE,NN,NNS,parsing algorithm,parsing strategies,True,TOPIC
USAGE,NNS,NN,parsing strategies,types of knowledge,True,USAGE
COMPARE,NNS,NN,ungrammatical structures,grammatically correct input,False,PART_WHOLE
PART_WHOLE,NNS,NN,specific heuristics,multi-strategy framework,False,PART_WHOLE
PART_WHOLE,NNS,NNS,discontinuous constituents,non-configurational languages,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,discontinuous constituents,definite clause grammars,True,TOPIC
USAGE,NNS,NNS,grammars,parser for non-configurational languages,False,MODEL-FEATURE
USAGE,NN,NN,"context-sensitive, phrase structure grammar","best-path, bottom-up, deterministic parser",False,RESULT
USAGE,NNP,NN,CSG,phrase structure grammar,False,COMPARE
PART_WHOLE,NN,NNS,semantically unmarked term,antonymous adjectives,False,COMPARE
MODEL-FEATURE,NN,NNS,lexical coverage,MT systems,False,COMPARE
MODEL-FEATURE,NNS,NNS,words,frequency classes,True,PART_WHOLE
MODEL-FEATURE,NNS,NNP,"abstract flat syntactic representations, LFG f-structures","underspecified semantic representations, here Underspecified Dis",True,TOPIC
MODEL-FEATURE,NN,NNS,model theoretic interpretation,f-structures,False,COMPARE
MODEL-FEATURE,NNS,NNS,translation images,f-structures,False,MODEL-FEATURE
USAGE,NN,NNP,dialog management system,Construct Algebra,True,TOPIC
MODEL-FEATURE,NNS,NN,collection of relations and operations,task representation,False,PART_WHOLE
PART_WHOLE,NNS,NNS,analytical components,dialog motivators,False,MODEL-FEATURE
PART_WHOLE,NN,NNS,dialog manager,collection of dialog motivators,True,TOPIC
USAGE,NN,NN,language-independent system,automatic discovery of text,False,RESULT
PART_WHOLE,NNP,NN,STRAND,automatic language identification,True,TOPIC
PART_WHOLE,NN,NNS,automatically acquired parallel corpus,English-French document pairs,True,USAGE
USAGE,NNS,NNP,computer-assisted acquisition and morpho-syntactic description o,Polish,False,PART_WHOLE
USAGE,NN,NNP,corpus-based approach,verb-noun collocation dictionary for Polish,False,COMPARE
PART_WHOLE,NN,NNP,large Czech MWE database,MWEs,True,TOPIC
PART_WHOLE,NNS,NNS,databases,proper names,True,TOPIC
PART_WHOLE,NNS,NNP,collocations,Czech WordNet,False,PART_WHOLE
COMPARE,NN,NNS,MWEs database,corpus data,False,MODEL-FEATURE
MODEL-FEATURE,NNP,NNS,Word Sketch Engine,statistical parameters,True,USAGE
MODEL-FEATURE,NN,NNP,salience,MWEs,False,COMPARE
USAGE,NN,NN,database,tagging,False,PART_WHOLE
PART_WHOLE,NNP,NN,MWEs,corpus text,False,COMPARE
USAGE,NNS,NNS,statistical techniques,translations,False,MODEL-FEATURE
PART_WHOLE,NN,NNS,graph,translation hypotheses,True,USAGE
USAGE,NN,NN,hypotheses graph,shallow mapping,True,TOPIC
PART_WHOLE,NNS,NNS,nodes,vectors representing morpho-syntactic properties,True,TOPIC
USAGE,NN,NNS,log-linear combination,translation paths,False,COMPARE
COMPARE,NNP,NN,CMU,SRI toolkit,False,COMPARE
COMPARE,NNS,NNS,word-lemma based feature function models,token-based models,False,MODEL-FEATURE
PART_WHOLE,NN,NN,PoS-tag feature function,word-lemma model,False,RESULT
MODEL-FEATURE,NNS,NNS,weights,lexical translations,False,MODEL-FEATURE
COMPARE,NN,NN,training material,texts,False,USAGE
MODEL-FEATURE,NN,NNS,internal and contextual information,domain specific terms,False,COMPARE
MODEL-FEATURE,NNS,NNS,features,terms,False,MODEL-FEATURE
USAGE,NN,NNS,term extraction,delimiters,True,USAGE
